threshold,precision,recall,f1
0.1,0.7198527646635192,0.9441645675902602,0.8168898978433599
0.15000000000000002,0.7650150797070229,0.9317800167926112,0.8402025268537359
0.2,0.7957047957047957,0.9177162048698573,0.8523663303601892
0.25,0.813916163141994,0.9048068849706129,0.8569582504970179
0.30000000000000004,0.8266187748762256,0.8936817800167927,0.8588431085783449
0.35,0.8362497514416385,0.8827665827036104,0.8588787909731441
0.4,0.8444444444444444,0.8694374475230898,0.8567587134140036
0.45000000000000007,0.8525519848771267,0.8520151133501259,0.8522834645669292
0.5,0.8583593834213646,0.8357472712006717,0.8469024195692635
0.55,0.8666889408620113,0.8167506297229219,0.8409790889933538
0.6,0.8765474552957359,0.8025818639798489,0.8379355687047995
0.65,0.8867076631977294,0.786943744752309,0.8338523131672598
0.7000000000000001,0.896568748457171,0.762384550797649,0.8240499149177538
0.75,0.9064576136061653,0.7159949622166247,0.800046909815879
0.8,0.9187914517317612,0.6542821158690176,0.7642984123092013
0.85,0.9316367265469062,0.5878463476070529,0.7208494208494208
0.9,0.9467028003613369,0.5499580184718724,0.6957445396003452
